alcaldia,eci,c_p,colonia,negocio,categoria,porcentaje_infectados,num_empleados
azcapotzalco,3.8655088585,2400,san juan tlihuaca,herrero_herreria,arreglosgeneral,0.2022,2
miguel hidalgo,4.1527924150999995,11370,tlaxpana,ropacalzado,ropa,0.1573,0
miguel hidalgo,4.1527924150999995,11370,tlaxpana,artesaniasmexicanas,industria,0.1573,2
azcapotzalco,3.8655088585,2120,san martin xochinahuac,vulcanizador,arreglosgeneral,0.17980000000000002,1
azcapotzalco,3.8655088585,2100,el rosario,microempresario_tramites,industria,0.1573,3
azcapotzalco,3.8655088585,2120,san martin xochinahuac,frutasverduraskilofrutapicadacokteles,restaurantes,0.17980000000000002,2
azcapotzalco,3.8655088585,2100,el rosario,comida,restaurantes,0.1573,1
azcapotzalco,3.8655088585,2100,el rosario,desayunos,restaurantes,0.1573,0
azcapotzalco,3.8655088585,2100,el rosario,rentaequipoeventos,industria,0.1573,6
azcapotzalco,3.8655088585,2459,tezozomoc,casa_materiasprimas,industria,0.1303,2
azcapotzalco,3.8655088585,2400,san juan tlihuaca,lashista,industria,0.2022,1
azcapotzalco,3.8655088585,2120,san martin xochinahuac,rentaequipoaudioeiluminacion_rentaequipoaudiotodotipoeventos,musica,0.17980000000000002,6
miguel hidalgo,4.1527924150999995,11370,tlaxpana,emprendedor_pan,restaurantes,0.1573,3
azcapotzalco,3.8655088585,2400,san juan tlihuaca,artesaniaplumaria,ventaproductos,0.2022,1
miguel hidalgo,4.1527924150999995,11400,popotla,ventasarticulosmerceria,ventaproductos,0.1528,1
azcapotzalco,3.8655088585,2120,san martin xochinahuac,estilista,belleza,0.17980000000000002,1
azcapotzalco,3.8655088585,2100,el rosario,tiendaabarrotes,comida,0.1573,2
azcapotzalco,3.8655088585,2400,san juan tlihuaca,costura,ropa,0.2022,1
miguel hidalgo,4.1527924150999995,11400,popotla,dulcesgolocinaspasadita,comida,0.1528,2
azcapotzalco,3.8655088585,2120,san martin xochinahuac,licpublicidad_rotulospancartasanuncios,industria,0.17980000000000002,3
azcapotzalco,3.8655088585,2400,san juan tlihuaca,impresos,electronicos,0.2022,1
miguel hidalgo,4.1527924150999995,11400,popotla,lavanderia,arreglosgeneral,0.1528,3
azcapotzalco,3.8655088585,2459,tezozomoc,abarrotes,comida,0.1303,2
azcapotzalco,3.8655088585,2120,san martin xochinahuac,comedorescolar,restaurantes,0.17980000000000002,8
miguel hidalgo,4.1527924150999995,11400,popotla,emprendimiento_jarceria,industria,0.1528,1
miguel hidalgo,4.1527924150999995,11370,tlaxpana,postres,restaurantes,0.1573,1
miguel hidalgo,4.1527924150999995,11370,tlaxpana,moleagranel,comida,0.1573,3
azcapotzalco,3.8655088585,2459,tezozomoc,catalogos,ventaproductos,0.1303,1
azcapotzalco,3.8655088585,2100,el rosario,feriate_juegomecanico,ventaproductos,0.1573,1
azcapotzalco,3.8655088585,2120,san martin xochinahuac,zapatero_reparadoracalzado,arreglosgeneral,0.17980000000000002,2
miguel hidalgo,4.1527924150999995,11400,popotla,feriero,industria,0.1528,1
azcapotzalco,3.8655088585,2120,san martin xochinahuac,feriero,industria,0.17980000000000002,1
azcapotzalco,3.8655088585,2400,san juan tlihuaca,feriero,industria,0.2022,1
azcapotzalco,3.8655088585,2120,san martin xochinahuac,feriero,industria,0.17980000000000002,1
azcapotzalco,3.8655088585,2120,san martin xochinahuac,zapaterias,arreglosgeneral,0.17980000000000002,1
azcapotzalco,3.8655088585,2400,san juan tlihuaca,carne,comida,0.2022,2
azcapotzalco,3.8655088585,2400,san juan tlihuaca,recuerdosaccesorioshechosamano,ventaproductos,0.2022,1
azcapotzalco,3.8655088585,2400,san juan tlihuaca,carne,comida,0.2022,1
azcapotzalco,3.8655088585,2400,san juan tlihuaca,carne,comida,0.2022,2
miguel hidalgo,4.1527924150999995,11370,tlaxpana,terapeuta,salud,0.1573,1
azcapotzalco,3.8655088585,2100,el rosario,esteticacanina,mascotas,0.1573,2
azcapotzalco,3.8655088585,2100,el rosario,tallermecanico,industria,0.1573,1
azcapotzalco,3.8655088585,2100,el rosario,uas,belleza,0.1573,1
azcapotzalco,3.8655088585,2100,el rosario,cdmx,industria,0.1573,1
miguel hidalgo,4.1527924150999995,11400,popotla,fotografiaprofesional,fotografia,0.1528,1
azcapotzalco,3.8655088585,2100,el rosario,catalogo,ventaproductos,0.1573,1
azcapotzalco,3.8655088585,2100,el rosario,ropainterior,ropa,0.1573,1
azcapotzalco,3.8655088585,2400,san juan tlihuaca,ropa,ropa,0.2022,1
azcapotzalco,3.8655088585,2400,san juan tlihuaca,catalogo,ventaproductos,0.2022,1
azcapotzalco,3.8655088585,2400,san juan tlihuaca,pintura,arreglosgeneral,0.2022,1
miguel hidalgo,4.1527924150999995,11370,tlaxpana,chilessecos,comida,0.1573,3
azcapotzalco,3.8655088585,2100,el rosario,papelerias,papeleria,0.1573,1
miguel hidalgo,4.1527924150999995,11370,tlaxpana,tiendasregalos,arreglosgeneral,0.1573,1
miguel hidalgo,4.1527924150999995,11370,tlaxpana,florerias,arreglosgeneral,0.1573,1
miguel hidalgo,4.1527924150999995,11370,tlaxpana,comida,restaurantes,0.1573,1
miguel hidalgo,4.1527924150999995,11370,tlaxpana,fuentesodasgranada,restaurantes,0.1573,1
miguel hidalgo,4.1527924150999995,11370,tlaxpana,estetica,belleza,0.1573,1
miguel hidalgo,4.1527924150999995,11370,tlaxpana,frutasverduras,comida,0.1573,1
miguel hidalgo,4.1527924150999995,11370,tlaxpana,comida,restaurantes,0.1573,1
miguel hidalgo,4.1527924150999995,11370,tlaxpana,frutaslegumbres,comida,0.1573,1
miguel hidalgo,4.1527924150999995,11370,tlaxpana,boneteria,ropa,0.1573,1
miguel hidalgo,4.1527924150999995,11370,tlaxpana,carniceria,comida,0.1573,1
miguel hidalgo,4.1527924150999995,11370,tlaxpana,ropahecha,ropa,0.1573,1
miguel hidalgo,4.1527924150999995,11370,tlaxpana,carniceria,comida,0.1573,1
miguel hidalgo,4.1527924150999995,11370,tlaxpana,veladorasherbolaria,industria,0.1573,1
miguel hidalgo,4.1527924150999995,11370,tlaxpana,frutaslegumbres,comida,0.1573,1
miguel hidalgo,4.1527924150999995,11400,popotla,ropahechaarticuloscomunion,ropa,0.1528,1
miguel hidalgo,4.1527924150999995,11370,tlaxpana,frutaslegumbres,comida,0.1573,1
miguel hidalgo,4.1527924150999995,11370,tlaxpana,comidaantojitosrefrescos,restaurantes,0.1573,1
miguel hidalgo,4.1527924150999995,11370,tlaxpana,carniceria,comida,0.1573,1
miguel hidalgo,4.1527924150999995,11370,tlaxpana,ropahecha,ropa,0.1573,1
miguel hidalgo,4.1527924150999995,11370,tlaxpana,juguetes,ventaproductos,0.1573,1
miguel hidalgo,4.1527924150999995,11370,tlaxpana,verduras,comida,0.1573,1
